Author_Standardized,Paper_Count
"Swanson, N",9
"Clements, M",8
"Schorfheide, F",7
"Kitov, I",7
"Pincheira, P",6
"Wright, J",6
"Kim, H",6
"Simionescu, M",5
"Nautz, D",5
"Weber, M",5
"Wang, Y",5
"Cochrane, J",4
"Baghestani, H",4
"Zhang, X",4
"Loungani, P",4
"Hubrich, K",4
"Singh, S",4
"Stekler, H",4
"Ghysels, E",4
"Chantarakasemchit, O",3
"Lanne, M",3
"Gualdi, S",3
"Crowe, C",3
"Bhamra, H",3
"Civelli, A",3
"Clark, T",3
"Gautier, E",3
"Kandil, M",3
"Gupta, R",3
"Kumar, A",3
"Hommes, C",3
"Dorion, C",3
"Knüppel, M",3
"Bittencourt, M",3
"Lahiri, K",3
"Kamin, S",3
"Kitov, O",3
"Hassani, H",3
"Nuchitprasitchai, S",3
"Okuda, T",3
"Otto, G",3
"Petrella, I",3
"Medel, C",3
"Posen, A",3
"Razin, A",3
"Reinhart, C",3
"Rossi, B",3
"Ruge-Murcia, F",3
"Rumler, F",3
"Saikkonen, P",3
"Santoro, E",3
"Peel, D",3
"Sen, D",3
"Bouchaud, J",3
"Mertens, E",3
"Smith, G",3
"Smyth, D",3
"Nason, J",3
"Duncan, R",3
"Tarzia, M",3
"Tsuruga, T",3
"Luoto, J",3
"Jeanneret, A",3
"Heravi, S",3
"Ash, J",3
"Alamsyah, A",3
"Zamponi, F",3
"Zhang, J",3
"Zhang, L",3
"Wang, J",3
"Daniels, J",2
"Kim, K",2
"Busetti, F",2
"Koursaros, D",2
"Karras, G",2
"Das, D",2
"Das, S",2
"King, I",2
"Hendrickson, J",2
"Cakmakli, C",2
"Hendry, D",2
"Calvo, G",2
"Herbst, E",2
"Fitzgerald, D",2
"De Gooijer, J",2
"Liu, R",2
"Ihnatov, I",2
"Ihrig, J",2
"Devereux, M",2
"Kato, R",2
"Lomakin, I",2
"Furceri, D",2
"Joutz, F",2
"Jouvanceau, V",2
"Kebabci, D",2
"Ceyhan, P",2
"Gabrielyan, D",2
"Li, H",2
"Keen, S",2
"Dolinskaya, S",2
"Dong, J",2
"Kletzer, K",2
"Doshi, H",2
"Li, J",2
"Bakhshi, H",2
"Ganics, G",2
"Günay, M",2
"Chauvet, M",2
"Drenik, A",2
"Khan, H",2
"Lomakin, N",2
"Koedijk, K",2
"Li, X",2
"Hossain, A",2
"Hossain, M",2
"Iwanicz-Drozdowska, M",2
"Linnemann, L",2
"Basturk, N",2
"Kryshko, M",2
"Becker, S",2
"Jacobs, K",2
"Kwon, G",2
"Hua, J",2
"Geiger, M",2
"Krüger, F",2
"Langer, T",2
"Hamurcuoglu, K",2
"Faber, R",2
"Marcellino, M",2
"Marquez, J",2
"Massaro, D",2
"McAdam, P",2
"McCracken, M",2
"McFarlane, L",2
