DOI,Author_Full,Author_Standardized,ORCID
10.1007/s43546-022-00384-2,Emmanuel O. Akande,"Akande, E",https://orcid.org/0000-0002-8201-4072
10.1007/s43546-022-00384-2,Elijah O. Akanni,"Akanni, E",
10.1007/s43546-022-00384-2,Oyedamola F. Taiwo,"Taiwo, O",
10.1007/s43546-022-00384-2,Jeremiah D. Joshua,"Joshua, J",
10.1007/s43546-022-00384-2,Abel Anthony,"Anthony, A",
10.1155/2021/1071145,Cheng Yang,"Yang, C",
10.1155/2021/1071145,Shuhua Guo,"Guo, S",https://orcid.org/0000-0002-9399-2082
10.1007/s42973-021-00091-x,So Kubota,"Kubota, S",
10.1007/s40258-012-0003-z,Mark D. Agee,"Agee, M",
10.1007/s40258-012-0003-z,Zane Gates,"Gates, Z",
10.1136/tc-2021-057232,Philip Gendall,"Gendall, P",https://orcid.org/0000-0002-2459-6393
10.1136/tc-2021-057232,Katherine Gendall,"Gendall, K",
10.1136/tc-2021-057232,J Robert Branston,"Branston, J",https://orcid.org/0000-0002-2332-2403
10.1136/tc-2021-057232,Richard Edwards,"Edwards, R",https://orcid.org/0000-0003-2264-9823
10.1136/tc-2021-057232,Nick Wilson,"Wilson, N",https://orcid.org/0000-0002-5118-0676
10.1136/tc-2021-057232,Janet Hoek,"Hoek, J",https://orcid.org/0000-0003-4362-1539
10.1016/j.mex.2021.101226,Sayyed Abdolmajid Jalaee,"Jalaee, S",
10.1016/j.mex.2021.101226,Alireza Shakibaei,"Shakibaei, A",
10.1016/j.mex.2021.101226,Hamid Reza Horry,"Horry, H",
10.1016/j.mex.2021.101226,Hossein Akbarifard,"Akbarifard, H",
10.1016/j.mex.2021.101226,Amin GhasemiNejad,"GhasemiNejad, A",https://orcid.org/0000-0002-5792-4648
10.1016/j.mex.2021.101226,Fateme Nazari Robati,"Robati, F",
10.1016/j.mex.2021.101226,Naeeme Amani Zarin,"Zarin, N",
10.1080/02664763.2020.1732885,Alejandro Rodriguez,"Rodriguez, A",
10.1080/02664763.2020.1732885,Gabriel Pino,"Pino, G",
10.1080/02664763.2020.1732885,Rodrigo Herrera,"Herrera, R",
10.1016/j.ssresearch.2019.102351,Holger Alda,"Alda, H",
10.1016/j.ssresearch.2019.102351,Anett Friedrich,"Friedrich, A",
10.1016/j.ssresearch.2019.102351,Daniela Rohrbach-Schmidt,"Rohrbach-Schmidt, D",
10.2139/ssrn.3042952,Elmar Mertens,"Mertens, E",
10.2139/ssrn.3042952,James M. Nason,"Nason, J",
