Bigram,Frequency
exchange_rate,379
interest_rate,368
monetary_policy,294
inflation_rate,290
time_series,164
central_bank,154
inflation_expectation,131
rate_inflation,120
price_index,118
consumer_price,115
economic_growth,106
phillips_curve,106
neural_network,90
prediction_model,86
inflation_forecast,85
macroeconomic_variable,85
machine_learning,85
oil_price,83
gdp_growth,78
stock_market,77
result_show,76
stock_price,75
output_gap,72
growth_rate,67
inflation_unemployment,65
unemployment_rate,63
growth_inflation,63
new_keynesian,63
price_inflation,61
theoretical_prediction,60
inflation_targeting,59
real_interest,57
regression_model,57
price_level,56
model_prediction,54
fiscal_policy,53
forecasting_model,51
federal_reserve,50
price_change,50
prediction_inflation,50
expected_inflation,49
euro_area,49
prediction_error,49
factor_model,48
united_state,47
economic_activity,47
result_suggest,47
professional_forecaster,46
dsge_model,46
term_structure,46
density_forecast,45
empirical_evidence,45
gold_price,44
inflation_target,43
var_model,42
linear_regression,42
business_cycle,42
inflation_forecasting,41
policy_shock,41
money_supply,41
relationship_inflation,41
consistent_prediction,40
inflation_prediction,40
inflation_output,39
public_debt,38
mean_square,38
output_growth,38
index_cpi,38
core_inflation,38
arima_model,37
domestic_product,37
future_inflation,37
u_inflation,36
high_inflation,36
mean_squared,36
developing_country,35
random_forest,35
forecast_error,35
nominal_interest,35
keynesian_model,35
model_predicts,35
real_gdp,34
gross_domestic,34
low_inflation,33
forecast_inflation,33
crude_oil,33
financial_market,33
financial_distress,32
economic_indicator,31
survey_professional,31
model_inflation,31
rational_expectation,31
labor_force,31
forecast_horizon,31
open_economy,30
predictive_power,30
historical_data,30
model_based,30
long_run,30
empirical_result,29
higher_inflation,29
supply_shock,29
monte_carlo,29
find_evidence,29
forecasting_inflation,29
lower_bound,28
government_expenditure,28
rate_interest,28
econometric_model,28
using_data,28
model_used,28
price_stability,28
labor_market,28
artificial_neural,27
data_set,27
cpi_inflation,27
forecast_accuracy,27
outofsample_prediction,27
moving_average,26
real_exchange,26
yield_curve,26
empirical_analysis,26
learning_model,26
inflation_dynamic,26
theoretical_model,26
house_price,26
survey_data,26
price_prediction,25
prediction_using,25
banking_sector,25
paper_develops,25
increase_inflation,25
paper_present,25
vector_autoregressive,25
taylor_rule,25
root_mean,25
output_inflation,25
support_prediction,24
money_demand,24
inflation_real,24
model_also,24
take_account,24
recent_year,24
loss_function,24
effect_inflation,24
model_result,24
result_indicate,24
point_prediction,23
series_model,23
squared_error,23
paper_examines,23
square_error,23
inflation_interest,23
rate_exchange,23
stock_exchange,23
economic_condition,23
commodity_price,23
panel_data,23
industrial_production,23
inflation_result,23
model_using,23
