DOI,Abstract,Label,Cleaned_Abstract
10.1155/2021/1071145,"Forward-looking forecasting of the inflation rate could help the central bank and other government departments to better use monetary policy to stabilize prices and prevent the impact of inflation on market entities, especially for low- and middle-income groups. It can also help financial institutions and investors better make investment decisions. In this sense, the forecast of inflation rate is of great significance. The existing literature mainly uses linear models such as autoregressive (AR) and vector autoregressive (VAR) models to predict the inflation rate. The nonlinear relationship between variables and the mining of historical data information are relatively lacking. Therefore, the prediction strategies and accuracy of the existing literature need to be improved. The predictive model designed in deep learning can fully mine the nonlinear relationship between variables and process complex long-term time series dynamic information, thereby making up for the deficiencies of existing research. Therefore, this paper employs the recurrent neural networks with gated recurrent unit (GRU-RNN) model to train and analyze the Consumer Price Index (CPI) indicators to obtain inflation-related prediction results. The experimental results on historical data show that the GRU-RNN model has good performance in predicting China's inflation rate. In comparison, the performance of the proposed method is significantly better than some traditional models, showing its superior effectiveness.",1,forwardlooking forecasting inflation rate could help central bank government department better use monetary policy stabilize price prevent impact inflation market entity especially low middleincome group also help financial institution investor better make investment decision sense forecast inflation rate great significance existing literature mainly us linear model autoregressive ar vector autoregressive var model predict inflation rate nonlinear relationship variable mining historical data information relatively lacking therefore prediction strategy accuracy existing literature need improved predictive model designed deep learning fully mine nonlinear relationship variable process complex longterm time series dynamic information thereby making deficiency existing research therefore paper employ recurrent neural network gated recurrent unit grurnn model train analyze consumer price index cpi indicator obtain inflationrelated prediction result experimental result historical data show grurnn model good performance predicting china inflation rate comparison performance proposed method significantly better traditional model showing superior effectiveness
10.1007/s43546-022-00384-2,"Our study examined the disaggregation of inflation components in Nigeria using the stacked ensemble approach, a machine learning algorithm capable of compensating the weakness of an ensemble and a base learner with the strength of another. This approach gives flexibility of a synergistic performance of stacking each base learner and produces a formidable model that yields a high level of accuracy and predictive ability. We analyzed the test data, out-of-sample, and our analyses reveals a robust inflation prediction results. In particular, we show that food CPI is the most important driver for headline urban, and rural inflation while bread and cereals is the most important driver for food inflation in Nigeria. Also, biscuits, agric rice, garri white were found to be among the top main drivers of bread and cereal inflation. Our study further shows that some components of the CPI baskets that majorly drive inflation were assigned lower weights. Hence, attention to CPI weights only, without recourse to understanding the tipping source, may undermined a successful control of inflation in Nigeria. Tracing and tracking the source of inflation to the least sub-component will help resolve inflation problem.",1,study examined disaggregation inflation component nigeria using stacked ensemble approach machine learning algorithm capable compensating weakness ensemble base learner strength another approach give flexibility synergistic performance stacking base learner produce formidable model yield high level accuracy predictive ability analyzed test data outofsample analysis reveals robust inflation prediction result particular show food cpi important driver headline urban rural inflation bread cereal important driver food inflation nigeria also biscuit agric rice garri white found among top main driver bread cereal inflation study show component cpi basket majorly drive inflation assigned lower weight hence attention cpi weight without recourse understanding tipping source may undermined successful control inflation nigeria tracing tracking source inflation least subcomponent help resolve inflation problem
10.1002/for.2667,"This paper develops a dynamic factor model that uses euro area country-specific information on output and inflation to estimate an area-wide measure of the output gap. Our model assumes that output and inflation can be decomposed into country-specific stochastic trends and a common cyclical component. Comovement in the trends is introduced by imposing a factor structure on the shocks to the latent states. We moreover introduce flexible stochastic volatility specifications to control for heteroscedasticity in the measurement errors and innovations to the latent states. Carefully specified shrinkage priors allow for pushing the model towards a homoscedastic specification, if supported by the data. Our measure of the output gap closely tracks other commonly adopted measures, with small differences in magnitudes and timing. To assess whether the model-based output gap helps in forecasting inflation, we perform an out-of-sample forecasting exercise. The findings indicate that our approach yields superior inflation forecasts, both in terms of point and density predictions.",0,paper develops dynamic factor model us euro area countryspecific information output inflation estimate areawide measure output gap model assumes output inflation decomposed countryspecific stochastic trend common cyclical component comovement trend introduced imposing factor structure shock latent state moreover introduce flexible stochastic volatility specification control heteroscedasticity measurement error innovation latent state carefully specified shrinkage prior allow pushing model towards homoscedastic specification supported data measure output gap closely track commonly adopted measure small difference magnitude timing assess whether modelbased output gap help forecasting inflation perform outofsample forecasting exercise finding indicate approach yield superior inflation forecast term point density prediction
10.1007/s42973-021-00091-x,"In this paper, I use a simple SIR Macro model to examine Japan’s soft lockdown policies in 2021 under the COVID-19 crisis. As real-time research, this paper consists of two parts written during two different research periods. The first part, which was originally reported in February 2021, studies the Japan’s second soft lockdown policy (state of emergency declaration) from January to March 2021. After the model is calibrated using 2020 data, the results show that a long enough lockdown can avoid future lockdowns, improving both the infection and the economy. In addition, I propose the ICU targeting policy, which keeps the number of severe patients at a constant level, mimicking the monetary policy’s inflation targeting. The model’s prediction is evaluated from an ex-post perspective in the second part, written in July 2021. I find that the model broadly captures the realized consequences of the second soft lockdown and the subsequent paths. Furthermore, the simulation is projected to the end of the pandemic under a revised scenario, incorporating the proliferation of COVID-19 variants. Finally, I discuss the effectiveness of the inverse lockdown (economic stimulus) policy in the fall of 2021 under the dynamic infection externality.",0,paper use simple sir macro model examine japan’s soft lockdown policy covid crisis realtime research paper consists two part written two different research period first part originally reported february study japan’s second soft lockdown policy state emergency declaration january march model calibrated using data result show long enough lockdown avoid future lockdown improving infection economy addition propose icu targeting policy keep number severe patient constant level mimicking monetary policy’s inflation targeting model’s prediction evaluated expost perspective second part written july find model broadly capture realized consequence second soft lockdown subsequent path furthermore simulation projected end pandemic revised scenario incorporating proliferation covid variant finally discus effectiveness inverse lockdown economic stimulus policy fall dynamic infection externality
10.1007/s40258-012-0003-z,"BackgroundGame theory is useful for identifying conditions under which individual stakeholders in a collective action problem interact in ways that are more cooperative and in the best interest of the collective. The literature applying game theory to healthcare markets predicts that when providers set prices for services autonomously and in a noncooperative fashion, the market will be susceptible to ongoing price inflation.ObjectivesWe compare the traditional fee-for-service pricing framework with an alternative framework involving modified doctor, hospital and insurer pricing and incentive strategies. While the fee-for-service framework generally allows providers to set prices autonomously, the alternative framework constrains providers to interact more cooperatively.MethodsWe use community-level provider and insurer data to compare provider and insurer costs and patient wellness under the traditional and modified pricing frameworks. The alternative pricing framework assumes (i) providers agree to manage all outpatient claims; (ii) the insurer agrees to manage all inpatient clams; and (iii) insurance premiums are tied to patients’ healthy behaviours.Results and ConclusionsConsistent with game theory predictions, the more cooperative alternative pricing framework benefits all parties by producing substantially lower administrative costs along with higher profit margins for the providers and the insurer. With insurance premiums tied to consumers’ risk-reducing behaviours, the cost of insurance likewise decreases for both the consumer and the insurer.",0,backgroundgame theory useful identifying condition individual stakeholder collective action problem interact way cooperative best interest collective literature applying game theory healthcare market predicts provider set price service autonomously noncooperative fashion market susceptible ongoing price inflationobjectiveswe compare traditional feeforservice pricing framework alternative framework involving modified doctor hospital insurer pricing incentive strategy feeforservice framework generally allows provider set price autonomously alternative framework constrains provider interact cooperativelymethodswe use communitylevel provider insurer data compare provider insurer cost patient wellness traditional modified pricing framework alternative pricing framework assumes provider agree manage outpatient claim ii insurer agrees manage inpatient clam iii insurance premium tied patients’ healthy behavioursresults conclusionsconsistent game theory prediction cooperative alternative pricing framework benefit party producing substantially lower administrative cost along higher profit margin provider insurer insurance premium tied consumers’ riskreducing behaviour cost insurance likewise decrease consumer insurer
10.1136/tc-2021-057232,"BACKGROUND: Between 2010 and 2020, the New Zealand (NZ) Government increased tobacco excise tax by inflation plus 10% each year. We reviewed market structure changes and examined whether NZ tobacco companies shifted excise tax increases to maintain the affordability of lower priced cigarette brands. METHODS: We cluster-analysed market data that tobacco companies supply to the NZ Ministry of Health, created four price partitions and examined the size and share of these over time. For each partition, we analysed cigarette brand numbers and market share, calculated the volume-weighted real stick price for each year and compared this price across different price partitions. We calculated the net real retail price (price before tax) for each price partition and compared these prices before and after plain packaging took effect. RESULTS: The number and market share of Super Value and Budget brands increased, while those of Everyday and Premium brands decreased. Differences between the price of Premium and Super Value brands increased, as did the net retail price difference for these partitions. Following plain packaging's implementation, Super Value brand numbers more than doubled; contrary to industry predictions, the price difference between these and higher priced brands did not narrow. CONCLUSIONS: Between 2010 and 2020, NZ tobacco companies introduced more Super Value cigarette brands and shifted excise tax increases to reduce the impact these had on low-priced brands. Setting a minimum retail price for cigarettes could curtail tobacco companies' ability to undermine tobacco taxation policies designed to reduce smoking.",1,background new zealand nz government increased tobacco excise tax inflation plus year reviewed market structure change examined whether nz tobacco company shifted excise tax increase maintain affordability lower priced cigarette brand method clusteranalysed market data tobacco company supply nz ministry health created four price partition examined size share time partition analysed cigarette brand number market share calculated volumeweighted real stick price year compared price across different price partition calculated net real retail price price tax price partition compared price plain packaging took effect result number market share super value budget brand increased everyday premium brand decreased difference price premium super value brand increased net retail price difference partition following plain packaging implementation super value brand number doubled contrary industry prediction price difference higher priced brand narrow conclusion nz tobacco company introduced super value cigarette brand shifted excise tax increase reduce impact lowpriced brand setting minimum retail price cigarette could curtail tobacco company ability undermine tobacco taxation policy designed reduce smoking
10.1016/j.ssresearch.2019.102351,"For decades, Western societies have experienced educational expansion accompanied by an upgrading of skills. The literature provides competing hypotheses on the consequences for educational wage returns - among them are the positional value theory, routine-biased technological change, and the social closure theory. We test these theoretical perspectives empirically on young, male full-time workers in West Germany between 1976 and 2010 in two ideal-type occupational segments using 2.34 million administrative earnings records (Sample of Integrated Labor Market Biographies, SIAB). Our findings show no credential inflation across all levels of education. Instead, the picture in both segments - negative effects of educational expansion on the returns to medium- but not high-level skills - confirms the predictions of routine-biased technological change. Wage premiums for medium-skilled workers differ between segments: the premiums worsen over time in the general segment whereas social-closure mechanisms seem to weaken this negative trend for vocational graduates in the specific segment.",0,decade western society experienced educational expansion accompanied upgrading skill literature provides competing hypothesis consequence educational wage return among positional value theory routinebiased technological change social closure theory test theoretical perspective empirically young male fulltime worker west germany two idealtype occupational segment using million administrative earnings record sample integrated labor market biography siab finding show credential inflation across level education instead picture segment negative effect educational expansion return medium highlevel skill confirms prediction routinebiased technological change wage premium mediumskilled worker differ segment premium worsen time general segment whereas socialclosure mechanism seem weaken negative trend vocational graduate specific segment
10.1080/02664763.2020.1732885,"When prediction intervals are constructed using unobserved component models (UCM), problems can arise due to the possible existence of components that may or may not be conditionally heteroscedastic. Accurate coverage depends on correctly identifying the source of the heteroscedasticity. Different proposals for testing heteroscedasticity have been applied to UCM; however, in most cases, these procedures are unable to identify the heteroscedastic component correctly. The main issue is that test statistics are affected by the presence of serial correlation, causing the distribution of the statistic under conditional homoscedasticity to remain unknown. We propose a nonparametric statistic for testing heteroscedasticity based on the well-known Wilcoxon's rank statistic. We study the asymptotic validation of the statistic and examine bootstrap procedures for approximating its finite sample distribution. Simulation results show an improvement in the size of the homoscedasticity tests and a power that is clearly comparable with the best alternative in the literature. We also apply the test on real inflation data. Looking for the presence of a conditionally heteroscedastic effect on the error terms, we arrive at conclusions that almost all cases are different than those given by the alternative test statistics presented in the literature.",0,prediction interval constructed using unobserved component model ucm problem arise due possible existence component may may conditionally heteroscedastic accurate coverage depends correctly identifying source heteroscedasticity different proposal testing heteroscedasticity applied ucm however case procedure unable identify heteroscedastic component correctly main issue test statistic affected presence serial correlation causing distribution statistic conditional homoscedasticity remain unknown propose nonparametric statistic testing heteroscedasticity based wellknown wilcoxons rank statistic study asymptotic validation statistic examine bootstrap procedure approximating finite sample distribution simulation result show improvement size homoscedasticity test power clearly comparable best alternative literature also apply test real inflation data looking presence conditionally heteroscedastic effect error term arrive conclusion almost case different given alternative test statistic presented literature
10.1097/01.mlr.0000118873.10396.fc,"OBJECTIVE: The objective of this study was to estimate the cost of eliminating the 24-month waiting period for Medicare entitlement for Social Security disabled-worker beneficiaries. There is concern that the waiting period could currently result in reduced access to health care. DATA: : The study linked Social Security and Medicare administrative records. METHODS: Social Security records were used to identify a 20% sample of disabled workers aged 61 or less and newly entitled to Social Security Disability Insurance (SSDI) in 1995 (n = 105,328). These records were linked to Medicare enrollment and claims data for 1997-2000. Cost prediction models were developed from the linked data to predict monthly Medicare costs. The prediction models were then used to estimate what Medicare costs would have been in the first 24 months of SSDI entitlement if the waiting period had been eliminated. RESULTS: Among the sample of new SSDI entitlees in 1995, 11.8% died during the waiting period, 2.1% recovered, and 86.1% became entitled to Medicare. For the first 24 months of SSDI entitlement, Medicare costs were predicted to be 10,055 US dollars per disabled worker in year 2000 dollars. Costs varied substantially by diagnostic group and whether the person died or recovered during the waiting period. CONCLUSIONS: Extrapolating from the study sample, predicted Medicare costs for the 24-month waiting period were 5.3 billion US dollars (inflation-adjusted to year 2000 dollars) for all disabled workers aged 61 or less and newly entitled to SSDI in 1995.",0,objective objective study estimate cost eliminating month waiting period medicare entitlement social security disabledworker beneficiary concern waiting period could currently result reduced access health care data study linked social security medicare administrative record method social security record used identify sample disabled worker aged less newly entitled social security disability insurance ssdi n record linked medicare enrollment claim data cost prediction model developed linked data predict monthly medicare cost prediction model used estimate medicare cost would first month ssdi entitlement waiting period eliminated result among sample new ssdi entitlees died waiting period recovered became entitled medicare first month ssdi entitlement medicare cost predicted u dollar per disabled worker year dollar cost varied substantially diagnostic group whether person died recovered waiting period conclusion extrapolating study sample predicted medicare cost month waiting period billion u dollar inflationadjusted year dollar disabled worker aged less newly entitled ssdi
10.1016/j.mex.2021.101226,"Money demand is one of the most important economic variables which are a critical component in appointing and choosing appropriate monetary policy, because it determines the transmission of policy-driven change in monetary aggregates to the real sector. In this paper, the data of economic indicators in Iran are presented for estimating the money demand using biogeography-based optimization (BBO) algorithm, particle swarm optimization (PSO) algorithm, and a new hybrid metaheuristic method based on biogeography-based optimization and particle swarm optimization algorithm (BBPSO). The data are used in two forms (i.e. linear and exponential) to estimate money demand values based on true liquidity, Consumer price index, GDP, lending interest rate, Inflation, and official exchange rate. The available data are partly used for finding optimal or near-optimal values of weighting parameters (1974-2013) and partly for testing the models (2014-2018). The performance of methods is evaluated using mean squared error (MSE), root mean squared error (RMSE), and mean absolute error (MAE). According to the simulation results, the proposed method (i.e. BBPSO) outperformed the other models. The findings proved that the recommended method was an appropriate tool for effective money demand prediction in Iran. These data were the result of a comprehensive look at the most influential factors for money market demand. With this method, the demand side of this market was clearly defined. Along with other markets, the consequences of economic policy could be analyzed and predicted. • The article provides a method for observing the effect of economic scenarios on the money market and the analysis obtained by this proposed method allows experts, public sector economics, and monetary economist to see a clearer explanation of the country's liquidity plan. • The method presented in this article can be beneficial for the policy makers and monetary authorities during their decision-making process.",1,money demand one important economic variable critical component appointing choosing appropriate monetary policy determines transmission policydriven change monetary aggregate real sector paper data economic indicator iran presented estimating money demand using biogeographybased optimization bbo algorithm particle swarm optimization pso algorithm new hybrid metaheuristic method based biogeographybased optimization particle swarm optimization algorithm bbpso data used two form ie linear exponential estimate money demand value based true liquidity consumer price index gdp lending interest rate inflation official exchange rate available data partly used finding optimal nearoptimal value weighting parameter partly testing model performance method evaluated using mean squared error mse root mean squared error rmse mean absolute error mae according simulation result proposed method ie bbpso outperformed model finding proved recommended method appropriate tool effective money demand prediction iran data result comprehensive look influential factor money market demand method demand side market clearly defined along market consequence economic policy could analyzed predicted • article provides method observing effect economic scenario money market analysis obtained proposed method allows expert public sector economics monetary economist see clearer explanation country liquidity plan • method presented article beneficial policy maker monetary authority decisionmaking process
