Keyword,Frequency
inflation,2741
model,2217
rate,1523
prediction,1403
price,1260
forecast,931
data,816
policy,665
economic,660
result,653
paper,642
variable,598
using,582
monetary,529
study,526
growth,504
market,496
forecasting,459
time,456
country,454
interest,444
exchange,443
method,439
effect,414
economy,399
factor,398
show,383
change,380
also,379
real,375
period,367
find,357
analysis,345
used,344
based,342
expectation,340
financial,338
macroeconomic,334
bank,327
level,309
test,305
increase,301
stock,295
u,294
empirical,293
index,289
output,288
error,272
one,266
shock,262
new,260
year,254
value,253
information,253
evidence,251
approach,250
future,249
unemployment,247
series,247
regression,244
relationship,241
different,240
two,239
use,237
performance,234
estimate,224
money,221
dynamic,218
indicator,212
accuracy,212
important,211
measure,209
research,205
theory,204
central,204
gdp,203
term,196
consumer,196
impact,195
risk,192
government,191
cost,191
finding,190
uncertainty,190
significant,189
volatility,188
mean,187
however,183
higher,182
predict,180
may,179
high,178
oil,177
cpi,172
well,171
learning,169
return,166
expected,163
better,162
curve,158
wage,157
linear,157
demand,156
nominal,155
response,154
trend,154
predictive,152
set,152
survey,151
consistent,150
theoretical,150
process,150
average,149
state,146
low,145
support,144
investment,141
sector,140
simple,140
recent,139
yield,138
case,138
point,138
–,137
large,137
standard,137
target,135
fiscal,135
aggregate,133
first,133
system,132
firm,131
affect,131
parameter,131
horizon,130
found,129
component,129
number,129
development,128
since,127
many,126
problem,125
negative,125
good,124
distribution,124
various,123
condition,122
structure,122
literature,122
provide,121
accurate,121
gap,119
supply,119
lower,119
relative,119
proposed,118
compared,118
present,118
lead,117
asset,117
make,116
network,116
forecaster,116
power,116
estimated,116
whether,115
role,115
function,115
business,115
gold,113
phillips,112
three,112
hypothesis,112
capital,112
var,111
framework,111
alternative,110
sample,110
domestic,110
behavior,109
estimation,109
regime,108
predicting,108
consumption,108
long,107
technique,107
best,107
order,106
less,106
positive,105
including,105
decision,104
optimal,104
currency,104
crisis,103
account,102
production,102
difference,102
individual,101
activity,100
general,100
debt,99
machine,99
influence,98
bond,97
across,97
provides,97
several,97
obtained,97
movement,97
credit,96
short,96
key,95
public,95
suggest,95
past,95
would,94
rule,94
panel,94
size,94
could,93
autoregressive,92
neural,92
equilibrium,92
structural,91
developed,90
probability,90
investor,90
income,90
labor,89
predictor,89
indonesia,89
finally,89
algorithm,88
targeting,88
even,88
significantly,88
current,88
small,88
area,87
therefore,87
property,87
work,87
due,86
ability,86
produce,85
outcome,85
predicted,85
vector,85
correlation,84
application,84
suggests,83
among,83
reserve,83
stability,83
de,82
outofsample,82
fluctuation,82
trade,82
simulation,82
force,81
related,81
compare,81
tax,81
type,81
monthly,81
ratio,81
thus,80
density,80
product,80
overall,80
much,80
implication,79
help,79
examine,79
strong,79
rise,79
second,78
degree,78
major,78
article,78
addition,77
world,77
relation,76
nonlinear,76
methodology,76
particular,75
indicate,75
aim,75
federal,75
cycle,75
keynesian,75
international,75
global,75
statistical,75
benchmark,74
recession,74
loss,74
combination,74
procedure,74
main,73
robust,73
specification,72
coefficient,72
bayesian,72
historical,71
shown,71
purpose,71
bias,71
political,71
increased,71
agent,70
decrease,70
feature,70
according,69
arima,69
applied,69
strategy,68
issue,68
importance,68
control,68
within,68
need,67
focus,67
longrun,67
banking,67
observed,66
variance,66
propose,66
take,66
euro,66
longterm,65
pricing,65
share,65
per,65
foreign,65
united,65
made,65
shortterm,64
predicts,64
rational,64
although,64
common,64
portfolio,64
investigate,64
cause,63
often,63
explain,63
available,63
actual,63
four,63
run,63
household,62
modeling,62
fact,62
productivity,62
revenue,62
commodity,62
stochastic,62
rather,62
associated,62
benefit,62
persistence,61
previous,61
professional,61
adjustment,61
core,61
assumption,61
rating,61
month,61
national,61
existing,61
random,60
consider,60
effective,60
given,60
decade,60
conditional,59
context,59
fund,59
industry,59
square,59
equation,59
moreover,59
expenditure,59
likely,59
fundamental,58
frequency,58
selection,58
us,58
dollar,58
form,58
gain,58
timevarying,57
housing,57
improve,57
view,56
great,56
statistic,56
useful,56
quarterly,56
open,56
private,56
possible,56
mechanism,56
economics,55
conventional,55
interval,55
traditional,55
econometric,55
natural,54
greater,54
comparison,54
source,54
testing,54
part,54
fed,54
relatively,54
similar,54
link,53
evaluation,53
evaluate,53
example,53
uk,53
dsge,53
allows,53
following,53
balance,52
pattern,52
decline,52
analyze,52
sale,52
construct,52
generally,52
explanation,52
lag,52
weight,52
industrial,52
end,51
company,51
five,51
people,51
percentage,51
daily,51
least,51
direction,51
relevant,50
examines,50
reduce,50
china,50
potential,50
environment,50
developing,50
question,50
way,50
fall,50
without,50
assess,49
increasing,49
